movie,content_score,popularity_score,hybrid_score
Pulp Fiction,0.5039526306789696,1.0,0.6527668414752786
Forrest Gump,0.5345224838248487,0.6666666666666666,0.5741657386773941
La La Land,0.6546536707079771,0.1111111111111111,0.540749993111809
Titanic,0.5345224838248487,0.4444444444444444,0.5074990720107274
Parasite,0.6236095644623234,0.0,0.48017936463598904
The Dark Knight,0.6236095644623234,0.1111111111111111,0.4698600284569597
The Shawshank Redemption,0.5039526306789696,0.3333333333333333,0.4527668414752786
Interstellar,0.5039526306789696,0.1111111111111111,0.4247101922894732
The Godfather,0.5039526306789696,0.0,0.35276684147527865
Inception,0.3779644730092272,0.2222222222222222,0.3312417977731257
