movie,content_score,popularity_score,hybrid_score
Pulp Fiction,0.40451991747794525,1.0,0.5831639422345616
Parasite,0.6674238124719145,0.0,0.5139163356033741
Get Out,0.26967994498529685,0.8888888888888888,0.500986890972012
The Shining,0.4767312946227961,0.3333333333333333,0.43371190623595723
Joker,0.40451991747794525,0.3333333333333333,0.4214803364580178
The Shawshank Redemption,0.40451991747794525,0.3333333333333333,0.3831639422345616
Interstellar,0.40451991747794525,0.1111111111111111,0.3481470031246845
The Dark Knight,0.3813850356982369,0.1111111111111111,0.30030285832209913
The Godfather,0.40451991747794525,0.0,0.28316394223456165
Inception,0.13483997249264842,0.2222222222222222,0.16105464741152056
