movie,content_score,popularity_score,hybrid_score
Pulp Fiction,0.5393598899705937,1.0,0.6775519229794156
Forrest Gump,0.5720775535473553,0.6666666666666666,0.6004542874831487
La La Land,0.7006490497453708,0.1111111111111111,0.5761664349706023
The Matrix,0.674199862463242,0.0,0.5663278844691233
Titanic,0.5720775535473553,0.4444444444444444,0.533787620816482
Joker,0.5393598899705937,0.3333333333333333,0.5253071152773572
Parasite,0.6674238124719145,0.0,0.5139163356033741
The Shawshank Redemption,0.5393598899705937,0.3333333333333333,0.47755192297941557
Interstellar,0.5393598899705937,0.1111111111111111,0.4519737819440238
The Godfather,0.5393598899705937,0.0,0.3775519229794156
