movie,content_score,popularity_score,hybrid_score
Parasite,0.7627700713964738,0.0,0.5873329549752848
Pulp Fiction,0.40451991747794525,1.0,0.5831639422345616
Joker,0.40451991747794525,0.3333333333333333,0.4214803364580178
The Shawshank Redemption,0.40451991747794525,0.3333333333333333,0.3831639422345616
The Dark Knight,0.4767312946227961,0.1111111111111111,0.3670452395692906
Interstellar,0.40451991747794525,0.1111111111111111,0.3481470031246845
The Godfather,0.40451991747794525,0.0,0.28316394223456165
Inception,0.26967994498529685,0.2222222222222222,0.2554426281563745
The Avengers,0.26967994498529685,0.1111111111111111,0.22210929482304112
Get Out,0.13483997249264842,0.8888888888888888,0.1985800560763363
